Roll Number,Official School Name,Coeducational/Singlesex,Ethos,Language,County,School Planning Area,School Type,Patron,Households associated with the current pupils,Validated responses from parents with children in primary school,Response rate from parents with children in primary school,Overall margin of error associated with the current pupils,Preference for singlesex from parents with children in primary school,Preference for coeducational from parents with children in primary school,Preference for multidenominational from parents with children in primary school,Preference for denominational from parents with children in primary school,Preference for Irish from parents with children in primary school,Preference for English from parents with children in primary school,Preference for singlesex from parents with children in primary school (%),Preference for coeducational from parents with children in primary school (%),Preference for multidenominational from parents with children in primary school (%),Preference for denominational from parents with children in primary school (%),Preference for Irish from parents with children in primary school (%),Preference for English from parents with children in primary school (%),Validated responses from parents of children not yet in school,Preference for singlesex from parents of children not yet in school,Preference for coeducational from parents of children not yet in school,Preference for multidenominational from parents of children not yet in school,Preference for denominational from parents of children not yet in school,Preference for Irish from parents of children not yet in school,Preference for English from parents of children not yet in school,Preference for singlesex from parents of children not yet in school (%),Preference for coeducational from parents of children not yet in school (%),Preference for multidenominational from parents of children not yet in school (%),Preference for denominational from parents of children not yet in school (%),Preference for Irish from parents of children not yet in school (%),Preference for English from parents of children not yet in school (%)
01116A,Baile an Chuilinn N S,Co educational,Denominational,English,Carlow,Bagenalstown,Mainstream,Bishop of Kildare & Leighlin,77,40,52%,13%,0,40,12,28,9,31,0%,100%,30%,70%,22%,78%,,,,,,,,,,,,,
01215C,Newtown Dunleckney Mxd,Co educational,Denominational,English,Carlow,Bagenalstown,Mainstream,Bishop of Kildare & Leighlin,90,39,43%,13%,0,39,10,29,9,30,0%,100%,26%,74%,23%,77%,,,,,,,,,,,,,
02124E,Scoil Nais Molaise,Co educational,Denominational,English,Carlow,Bagenalstown,Mainstream,Bishop of Kildare & Leighlin,84,48,57%,12%,0,48,16,32,8,40,0%,100%,33%,67%,17%,83%,,,,,,,,,,,,,
11135K,St Marys N S,Co educational,Denominational,English,Carlow,Bagenalstown,Mainstream,"Bishop of Limerick, Killaloe & Ardfert COI",58,23,40%,16%,0,23,13,10,2,21,0%,100%,57%,43%,9%,91%,,,,,,,,,,,,,
13105L,St Bridgets Monastery Boys Senior School,Single sex,Denominational,English,Carlow,Bagenalstown,Mainstream,Bishop of Kildare & Leighlin,124,61,49%,10%,8,53,18,43,2,59,13%,87%,30%,70%,3%,97%,,,,,,,,,,,,,
17096K,S N Nmh Fhingin,Co educational,Denominational,English,Carlow,Bagenalstown,Mainstream,Bishop of Kildare & Leighlin,24,9,38%,24%,0,9,4,5,3,6,0%,100%,44%,56%,33%,67%,,,,,,,,,,,,,
17796P,Our Lady's National School,Co educational,Denominational,English,Carlow,Bagenalstown,Mainstream,Bishop of Kildare & Leighlin,16,11,69%,22%,0,11,4,7,4,7,0%,100%,36%,64%,36%,64%,,,,,,,,,,,,,
17994T,S N Fhoirtcheirn/Fhinin,Co educational,Denominational,English,Carlow,Bagenalstown,Mainstream,Bishop of Kildare & Leighlin,66,36,55%,13%,0,36,11,25,5,31,0%,100%,31%,69%,14%,86%,,,,,,,,,,,,,
18183K,Queen Of Universe N S,Single sex,Denominational,English,Carlow,Bagenalstown,Mainstream,Bishop of Kildare & Leighlin,195,98,50%,8%,8,90,32,66,11,87,8%,92%,33%,67%,11%,89%,46,6,40,12,34,7,39,13%,87%,26%,74%,15%,85%
19784S,St Laserians Mxd Ns,Co educational,Denominational,English,Carlow,Bagenalstown,Mainstream,Bishop of Kildare & Leighlin,129,52,40%,11%,1,51,17,35,10,42,2%,98%,33%,67%,19%,81%,,,,,,,,,,,,,
00651R,Borris Mxd N S,Co educational,Denominational,English,Carlow,Borris,Mainstream,Bishop of Kildare & Leighlin,151,64,42%,10%,1,63,24,40,10,54,2%,98%,38%,62%,16%,84%,,,,,,,,,,,,,
09320Q,Scoil Nais Mhuire,Co educational,Denominational,English,Carlow,Borris,Mainstream,Bishop of Kildare & Leighlin,40,15,38%,20%,1,14,8,7,4,11,7%,93%,53%,47%,27%,73%,,,,,,,,,,,,,
17462J,Scoil Nais Mhichil,Co educational,Denominational,English,Carlow,Borris,Mainstream,Bishop of Kildare & Leighlin,30,15,50%,20%,0,15,4,11,1,14,0%,100%,27%,73%,7%,93%,,,,,,,,,,,,,
18510W,St Patrick's National School,Co educational,Denominational,English,Carlow,Borris,Mainstream,Bishop of Kildare & Leighlin,24,13,54%,21%,0,13,2,11,0,13,0%,100%,15%,85%,0%,100%,,,,,,,,,,,,,
15177A,Carrigduff Nat School,Co educational,Denominational,English,Carlow,Bunclody,Mainstream,"Bishop of Cashel, Ferns & Ossory COI",57,30,53%,14%,0,30,14,16,2,28,0%,100%,47%,53%,7%,93%,,,,,,,,,,,,,
18090D,S N Cill Damhain,Co educational,Denominational,English,Carlow,Bunclody,Mainstream,Bishop of Kildare & Leighlin,53,18,34%,18%,1,17,8,10,4,14,6%,94%,44%,56%,22%,78%,,,,,,,,,,,,,
16938E,Fr Cullen Memorial N S,Co educational,Denominational,English,Carlow,Carlow,Mainstream,Bishop of Kildare & Leighlin,166,56,34%,11%,1,55,21,35,4,52,2%,98%,38%,62%,7%,93%,,,,,,,,,,,,,
17053P,Bishop Foley Memorial School Boys Snr Sch,Single sex,Denominational,English,Carlow,Carlow,Mainstream,Bishop of Kildare & Leighlin,149,33,22%,14%,16,17,11,22,2,31,48%,52%,33%,67%,6%,94%,,,,,,,,,,,,,
17501Q,Bennekerry National School,Co educational,Denominational,English,Carlow,Carlow,Mainstream,Bishop of Kildare & Leighlin,280,112,40%,8%,1,111,44,68,11,101,1%,99%,39%,61%,10%,90%,50,0,50,19,31,3,47,0%,100%,38%,62%,6%,94%
17756D,Ballinabranna Mxd N S,Co educational,Denominational,English,Carlow,Carlow,Mainstream,Bishop of Kildare & Leighlin,127,44,35%,12%,0,44,13,31,6,38,0%,100%,30%,70%,14%,86%,,,,,,,,,,,,,
18363M,S N Muire Gan Smal,Single sex,Denominational,English,Carlow,Carlow,Mainstream,Bishop of Kildare & Leighlin,285,71,25%,10%,36,35,24,47,10,61,51%,49%,34%,66%,14%,86%,,,,,,,,,,,,,
18424G,Scoil Nais Iosef Naofa,Single sex,Denominational,English,Carlow,Carlow,Mainstream,Bishop of Kildare & Leighlin,98,25,26%,16%,5,20,10,15,3,22,20%,80%,40%,60%,12%,88%,,,,,,,,,,,,,
18615N,S N Ceatharlach,Co educational,Denominational,English,Carlow,Carlow,Mainstream,"Bishop of Cashel, Ferns & Ossory COI",98,33,34%,14%,0,33,16,17,5,28,0%,100%,48%,52%,15%,85%,,,,,,,,,,,,,
19315G,St Laserians Special Sc,Co educational,Denominational,English,Carlow,Carlow,Special School,Bishop of Kildare & Leighlin,137,26,19%,15%,2,24,13,13,5,21,8%,92%,50%,50%,19%,81%,,,,,,,,,,,,,
